제목,부제목,훈련과정ID,훈련과정순차,훈련기관ID,훈련기관코드,지역코드,훈련시작일자,훈련종료일자,훈련시작_월,훈련종료_월,훈련기간_일,훈련기간_주,훈련기간_월,정원,수강신청인원,수강비,실제훈련비,만족도점수,NCS_코드,훈련대상,훈련구분,주소,전화번호,정원_대비_신청률,1차분류,2차분류,3차분류
자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발 ,한국정보교육원(구.경원직업전문학교),AIG20230000412579,10,500020031803,200400659,11350,2024-01-02,2024-09-13,1,9,255,36.4,8.5,30,29,9477000,9477000,92.2,20010202,K-디지털 트레이닝,C0104, 관악구,02-855-9611,96.7,정보통신,정보기술,정보기술개발
전산회계1급+전산세무2급 자격증 취득과정,하이미디어컴퓨터학원,AIG20220000384380,2,500020039555,200800647,11740,2024-01-02,2024-02-02,1,2,31,4.4,1.0,22,18,787200,787200,83.5,2030202,국민내일배움카드(일반),C0061, 강동구,02-479-0009,81.8,정보통신,,
"전기(산업)기사 취득 필기과정(전력공학,전기자기학)",서울공과전기학원,AIG20220000378605,3,500020020500,200803096,11560,2024-01-02,2024-01-31,1,1,29,4.1,1.0,45,16,411000,411000,90.5,19010703,국민내일배움카드(일반),C0061, 영등포구,02-2676-1114,35.6,,,
컴퓨터활용능력1급(필기+실기),대영컴퓨터학원,AIG20220000394806,4,500020061718,200601864,11380,2024-01-02,2024-02-21,1,2,50,7.1,1.7,20,6,840000,840000,87.0,2020302,국민내일배움카드(일반),C0061, 은평구,02-354-4501,30.0,정보통신,,
법률인사노무사무원(전자소송 컴퓨터실습 및 자격증취득) 종합반 취업과정,바른법률에이치알(HR)학원,AIG20230000428451,1,500034288247,201801409,11680,2024-01-02,2024-02-21,1,2,50,7.1,1.7,38,37,1618980,1618980,93.8,5010101,국민내일배움카드(일반),C0061, 강남구,02-1588-6127,97.4,,,
전산세무(TAT1급)및법인세신고,뉴마포전산세무회계학원,AIG20230000431126,1,500020035979,200600942,11440,2024-01-02,2024-01-25,1,1,23,3.3,0.8,10,7,459200,459200,93.7,2030202,국민내일배움카드(일반),C0061, 마포구,02-715-6924,70.0,정보통신,,
법률사무관리직원취업과정,대한법률학원,AIG20220000370278,16,500020019020,201301307,11560,2024-01-02,2024-01-24,1,1,22,3.1,0.7,50,36,935900,935900,95.9,5010101,국민내일배움카드(일반),C0061, 영등포구,02-2068-3488,72.0,,,
천연발효 유럽빵 과정,종로호텔제과직업전문학교,AIG20220000371475,14,500020021207,200400741,11110,2024-01-02,2024-01-25,1,1,23,3.3,0.8,20,18,489600,489600,90.0,21020102,국민내일배움카드(일반),C0061, 종로구,02-736-1157,90.0,,,
『오전반』포토샵&일러스트레이터 기초 입문 다지기,그린컴퓨터아카데미 신촌,AIG20210000348469,3,500020016713,200802672,11440,2024-01-02,2024-01-05,1,1,3,0.4,0.1,14,12,112400,112400,91.1,8020101,국민내일배움카드(일반),C0061, 마포구,02-715-2111,85.7,,,
"GCS 국제 바텐더(칵테일, 조주) 레벨1(기초반)",뉴욕바리스타베버리지학원,AIG20230000435390,1,500040951361,202104725,11560,2024-01-02,2024-01-15,1,1,13,1.9,0.4,18,2,300300,350300,97.2,13010204,국민내일배움카드(일반),C0061, 영등포구,02-2068-7330,11.1,,,
전기기사 산업기사 취득 필기 종합반,대산전기학원,AIG20230000430110,1,500020037244,200400677,11590,2024-01-02,2024-02-28,1,2,57,8.1,1.9,54,34,760350,760350,97.1,19010701,국민내일배움카드(일반),C0061, 동작구,02-816-0774,63.0,,,
"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",(주)이스트소프트,AIG20230000412662,4,500035988371,201902006,11650,2024-01-02,2024-05-17,1,5,136,19.4,4.5,80,71,13213200,13213200,83.3,20010202,K-디지털 트레이닝,C0104, 서초구,,88.8,정보통신,정보기술,정보기술개발
마야 3D캐릭터애니메이팅 양성과정,청시지아카데미학원,AIG20230000451413,1,500020027028,200700742,11680,2024-01-02,2024-02-27,1,2,56,8.0,1.9,10,6,499200,700000,90.5,8030206,국민내일배움카드(일반),C0061, 강남구,02-546-5640,60.0,,,
간호조무사 양성 교육과정 A-3,강서간호학원,AIG20230000453333,1,500039043972,202100909,11500,2024-01-02,2024-09-06,1,9,248,35.4,8.3,30,3,3230000,3230000,14.3,6020403,국민내일배움카드(일반),C0061, 강서구,02-2604-3690,10.0,,,
양식조리기능사 자격증 취득과정(실기),하나요리학원,AIG20230000437439,1,500020059241,200900901,11305,2024-01-02,2024-02-01,1,2,30,4.3,1.0,12,12,471200,471200,96.4,13010102,국민내일배움카드(일반),C0061, 강북구,02-945-4871,100.0,,,
전산회계(회계원리+FAT1급)자격증,뉴마포전산세무회계학원,AIG20230000429755,1,500020035979,200600942,11440,2024-01-02,2024-01-25,1,1,23,3.3,0.8,10,3,459200,459200,98.3,2030201,국민내일배움카드(일반),C0061, 마포구,02-715-6924,30.0,정보통신,,
조경기능사 필기 취득,중랑직업전문교육원,AIG20230000430915,1,500020056160,200702130,11260,2024-01-02,2024-01-22,1,1,20,2.9,0.7,20,6,395560,395560,91.8,14050102,국민내일배움카드(일반),C0061, 중랑구,02-493-2233,30.0,,,
실내건축(산업)기사 자격증 실기 작업형,강남동방디자인학원,AIG20230000422714,1,500020039952,200801164,11680,2024-01-02,2024-02-15,1,2,44,6.3,1.5,11,10,1295800,1295800,92.9,14030104,국민내일배움카드(일반),C0061, 강남구,02-3453-3256,90.9,,,
소방 설비(산업)기사/기사(전기분야)필기 취득대비,모아소방전기학원,AIG20230000448201,1,500020011194,201402404,11560,2024-01-02,2024-01-25,1,1,23,3.3,0.8,35,17,307680,408000,91.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,48.6,,,
제빵기능사 실기과정,중화직업전문학원,AIG20230000439328,1,500042954638,202301476,11260,2024-01-02,2024-02-19,1,2,48,6.9,1.6,18,3,408000,408000,94.0,21020102,국민내일배움카드(일반),C0061, 중랑구,02-491-9992,16.7,,,
플로리스트 기초과정(꽃다발&꽃바구니),포엠플로리스트학원,AIG20230000439736,1,500036981247,201904051,11650,2024-01-02,2024-01-23,1,1,21,3.0,0.7,15,4,279300,349300,100.0,24010401,국민내일배움카드(일반),C0061, 서초구,02-6084-2001,26.7,,,
"그린인테리어 과정(가드닝,분화,식물관리)",포엠플로리스트학원,AIG20230000439614,1,500036981247,201904051,11650,2024-01-02,2024-01-30,1,1,28,4.0,0.9,15,3,311220,361220,100.0,24010401,국민내일배움카드(일반),C0061, 서초구,02-6084-2001,20.0,,,
GCS 국제 바리스타 레벨1 자격증 취득+라떼아트(기초반),뉴욕바리스타베버리지학원,AIG20230000425294,1,500040951361,202104725,11560,2024-01-02,2024-01-16,1,1,14,2.0,0.5,18,8,207900,207900,96.7,13010203,국민내일배움카드(일반),C0061, 영등포구,02-2068-7330,44.4,,,
인테리어필름시공실무과정,(주)제로인테리어필름학원,AIG20230000426996,1,500020040518,201301503,11620,2024-01-02,2024-02-14,1,2,43,6.1,1.4,17,6,1636800,1636800,94.3,14030209,국민내일배움카드(일반),C0061, 관악구,02-883-5602,35.3,,,
실내건축설계를 위한 스케치업(SketchUp/V-ray),강남 그린컴퓨터아카데미,AIG20230000418745,1,500020046871,201100784,11680,2024-01-02,2024-01-15,1,1,13,1.9,0.4,20,12,265980,265980,100.0,14030104,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,60.0,,,
오라클 SQL 프로그래밍 입문과정,오라클자바교육학원,AIG20230000413413,1,500020017030,201300957,11530,2024-01-02,2024-02-01,1,2,30,4.3,1.0,10,3,198600,198600,52.4,20010204,국민내일배움카드(일반),C0061, 구로구,02-6925-4760,30.0,정보통신,정보기술,정보기술개발
컴퓨터활용능력2급자격취득(필기+실기),은곡직업전문학교,AIG20220000382619,11,500020016734,200300247,11350,2024-01-03,2024-01-31,1,1,28,4.0,0.9,18,7,504000,504000,93.3,2020302,국민내일배움카드(일반),C0061, 노원구,02-952-1163,38.9,정보통신,,
"앙금플라워 저녁반/주말반 (초급, 떡 케이크 디자이너 자격증 2급, 떡공예)",한국식품공예연구원 디저트 케이크 떡학원,AIG20230000450150,1,500041385185,202200680,11560,2024-01-03,2024-02-08,1,2,36,5.1,1.2,16,13,244800,450000,91.6,21020103,국민내일배움카드(일반),C0061, 영등포구,02-2678-8834,81.2,,,
바리스타2급자격취득,제너럴커피학원,AIG20230000440267,1,500020049063,201402547,11305,2024-01-03,2024-01-31,1,1,28,4.0,0.9,18,6,300300,300300,97.0,13010203,국민내일배움카드(일반),C0061, 강북구,010-5385-7416,33.3,,,
제과기능사자격증(실기),(주)동서울아카데미,AIG20230000425323,1,500020031583,200400275,11740,2024-01-03,2024-02-02,1,2,30,4.3,1.0,15,6,367200,487200,94.3,21020101,국민내일배움카드(일반),C0061, 강동구,02-488-6666,40.0,,,
제과제빵 디저트 카페실무과정,한솔요리커피바리스타제과제빵아카데미,AIG20220000390002,3,500020057973,201001583,11110,2024-01-03,2024-03-04,1,3,61,8.7,2.0,15,5,612000,682000,95.2,21020101,국민내일배움카드(일반),C0061, 종로구,02-725-3300,33.3,,,
"좋아요, 댓글, 구독, 알람설정을 위한 영상편집 (프리미어&에펙)",강남 그린컴퓨터아카데미,AIG20230000419414,1,500020046871,201100784,11680,2024-01-03,2024-02-05,1,2,33,4.7,1.1,20,18,219180,219180,89.3,8020104,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,90.0,,,
양식조리자격증실기반,한솔요리커피제과제빵아카데미,AIG20230000419838,1,500020018918,201501180,11500,2024-01-03,2024-02-07,1,2,35,5.0,1.2,17,2,334400,430000,94.6,13010102,국민내일배움카드(일반),C0061, 강서구,02-6738-4200,11.8,,,
사무자동화활용및ITQ자격증(한글/파워포인트/엑셀),국제컴퓨터학원,AIG20230000421292,1,500020028217,200800801,11650,2024-01-03,2024-02-27,1,2,55,7.9,1.8,9,7,888000,888000,95.0,2020302,국민내일배움카드(일반),C0061, 서초구,02-535-9951,77.8,정보통신,,
양식조리기능사 자격 취득과정(실기),서초여성인력개발센터,AIG20230000438608,1,500020032056,200803067,11650,2024-01-03,2024-02-02,1,2,30,4.3,1.0,12,10,296400,346400,98.2,13010102,국민내일배움카드(일반),C0061, 서초구,02-6929-0011,83.3,,,
바리스타2급 자격증 취득+카페메뉴(기초반),뉴욕바리스타베버리지학원,AIG20230000435206,1,500040951361,202104725,11560,2024-01-03,2024-01-17,1,1,14,2.0,0.5,18,1,207900,207900,98.8,13010203,국민내일배움카드(일반),C0061, 영등포구,02-2068-7330,5.6,,,
국제 와인 소믈리에 테이스팅 레벨1 자격증 취득(실기),뉴욕바리스타베버리지학원,AIG20230000435377,1,500040951361,202104725,11560,2024-01-03,2024-02-05,1,2,33,4.7,1.1,18,10,277200,327200,96.4,13010202,국민내일배움카드(일반),C0061, 영등포구,02-2068-7330,55.6,,,
커피 SCA 국제자격증 바리스타 파운데이션(Barista Foundation) ,파우제직업전문학원,AIG20230000423890,1,500041553696,202201276,11560,2024-01-03,2024-02-07,1,2,35,5.0,1.2,18,10,231000,280000,95.9,13010203,국민내일배움카드(일반),C0061, 영등포구,02-2671-2670,55.6,,,
바리스타1급자격취득과정,아이엠바리스타 커피학원,AIG20230000424470,1,500020039786,201501032,11680,2024-01-03,2024-02-05,1,2,33,4.7,1.1,10,4,438900,438900,100.0,13010203,국민내일배움카드(일반),C0061, 강남구,02-6959-7901,40.0,,,
커피바리스타 자격증 취득[국제EUCA+국내2급],퍼스트바리스타학원,AIG20230000426898,1,500035464627,201900067,11650,2024-01-03,2024-01-29,1,1,26,3.7,0.9,12,6,277200,400000,90.4,13010203,국민내일배움카드(일반),C0061, 서초구,02-6952-5391,50.0,,,
컴퓨터활용능력 2급(실기),엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20220000378774,16,500020044103,200701729,11500,2024-01-03,2024-02-07,1,2,35,5.0,1.2,20,8,234000,234000,88.0,2020302,국민내일배움카드(일반),C0061, 강서구,02-2675-1750,40.0,정보통신,,
건축(인테리어)목공실무 및 건축목공기능사자격증 취득,별관 서울인테리어기술교육원,AIG20230000439302,1,500041526291,202201113,11380,2024-01-03,2024-01-30,1,1,27,3.9,0.9,16,8,1091200,1341200,90.5,14030201,국민내일배움카드(일반),C0061, 은평구,02-388-0879,50.0,,,
"건축시공(도배,타일)실무 및 자격증 취득",서울인테리어기술교육원,AIG20230000442914,1,500020055976,201101512,11380,2024-01-03,2024-02-29,1,2,57,8.1,1.9,20,4,2182400,2312400,91.7,14030209,국민내일배움카드(일반),C0061, 은평구,02-388-8779,20.0,,,
컴퓨터 기초(윈도우+인터넷+한글),탑컴퓨터전산회계학원,AIG20230000450127,1,500036357848,201902910,11500,2024-01-03,2024-02-07,1,2,35,5.0,1.2,10,10,288000,288000,100.0,2020302,국민내일배움카드(일반),C0061, 강서구,02-3663-3906,100.0,정보통신,,
도배시공실무 및 도배기능사자격증 취득,서울인테리어기술교육원,AIG20230000421763,1,500020055976,201101512,11380,2024-01-03,2024-01-30,1,1,27,3.9,0.9,18,8,1091200,1156200,98.2,14030209,국민내일배움카드(일반),C0061, 은평구,02-388-8779,44.4,,,
"기초부터 ITQ(한글,파워포인트,엑셀)+컴퓨터활용능력2급실기",하이미디어컴퓨터학원,AIG20220000377486,9,500020012631,200601553,11350,2024-01-03,2024-02-06,1,2,34,4.9,1.1,20,14,720000,720000,85.1,2020302,국민내일배움카드(일반),C0061, 노원구,02-6337-0008,70.0,정보통신,,
"베이킹 자격증 실무(제과&제빵자격증,까페디저트)",퍼스트요리아카데미건대점학원,AIG20220000374384,13,500020058411,200500261,11215,2024-01-03,2024-03-06,1,3,63,9.0,2.1,15,8,1156000,1236000,94.0,21020101,국민내일배움카드(일반),C0061, 광진구,02-461-3430,53.3,,,
바리스타실무(로스팅&커피추출&카페메뉴),은곡직업전문학교,AIG20210000336666,17,500020016734,200300247,11350,2024-01-03,2024-01-30,1,1,27,3.9,0.9,8,5,462000,462000,92.6,13010203,국민내일배움카드(일반),C0061, 노원구,02-952-1163,62.5,,,
천연발효 유럽빵 실무,한솔요리커피바리스타제과제빵아카데미,AIG20230000436083,1,500020057973,201001583,11110,2024-01-03,2024-01-29,1,1,26,3.7,0.9,15,0,244800,294800,100.0,21020102,국민내일배움카드(일반),C0061, 종로구,02-725-3300,0.0,,,
전기(산업)기사 필기 취득,(주)대한전기학원,AIG20230000447730,1,500020056275,200000165,11710,2024-01-03,2024-02-14,1,2,42,6.0,1.4,30,12,513750,513750,85.7,19010702,국민내일배움카드(일반),C0061, 송파구,02-415-2211,40.0,,,
"[오전반,초보자] FAT1급+전산회계1급+전산세무2급",에스비컴퓨터회계아카데미,AIG20230000447523,1,500041553681,202201253,11500,2024-01-03,2024-02-02,1,2,30,4.3,1.0,18,14,918400,918400,94.7,2030202,국민내일배움카드(일반),C0061, 강서구,02-2065-0508,77.8,정보통신,,
경매물권 권리분석 및 명도소송 실무(심화반),세종직업능력개발원,AIG20220000388111,19,500020060950,200801918,11545,2024-01-03,2024-01-31,1,1,28,4.0,0.9,30,6,267600,267600,87.9,5010101,국민내일배움카드(일반),C0061, 금천구,02-6049-4180,20.0,,,
컴퓨터활용능력2급(엑셀)실기 과정,하이미디어컴퓨터학원,AIG20220000379667,27,500020012631,200601553,11350,2024-01-03,2024-01-16,1,1,13,1.9,0.4,20,9,180000,180000,87.3,2020302,국민내일배움카드(일반),C0061, 노원구,02-6337-0008,45.0,정보통신,,
그래픽편집디자인(일러스트&포토샵),(주)KD아카데미,AIG20210000350700,5,500020062489,200701532,11350,2024-01-03,2024-02-28,1,2,56,8.0,1.9,20,9,415200,415200,92.3,22010102,국민내일배움카드(일반),C0061, 노원구,02-951-0008,45.0,,,
"웹퍼블리셔 중급(반응형,자바스크립트)",하이미디어컴퓨터학원,AIG20220000403031,1,500020039555,200800647,11740,2024-01-03,2024-02-19,1,2,47,6.7,1.6,22,0,219180,219180,0.0,8020104,국민내일배움카드(일반),C0061, 강동구,02-479-0009,0.0,,,
"전산회계1급.FAT1급취득(KcLep,더존Smart-A실기,이론) ",나래정보처리회계학원,AIG20230000428962,1,500020055029,200800174,11500,2024-01-03,2024-02-02,1,2,30,4.3,1.0,20,8,393600,393600,95.2,2030201,국민내일배움카드(일반),C0061, 강서구,02-2662-2567,40.0,정보통신,,
한식조리기능사 실기과정,한솔요리커피바리스타제과제빵아카데미,AIG20220000378196,13,500020057973,201001583,11110,2024-01-03,2024-01-29,1,1,26,3.7,0.9,20,15,364800,364800,85.4,13010101,국민내일배움카드(일반),C0061, 종로구,02-725-3300,75.0,,,
"라떼아트 전문과정(결하트,로제타,3단튤립+바리스타1급 자격증)",경희커피바리스타제과직업전문학교,AIG20220000392986,6,500034242603,201801000,11560,2024-01-03,2024-01-23,1,1,20,2.9,0.7,18,5,462000,482000,90.4,13010203,국민내일배움카드(일반),C0061, 영등포구,02-3667-7175,27.8,,,
(속성)재경관리사취득과정A,하이미디어아카데미인재개발원,AIG20220000387720,4,500020037340,201101542,11110,2024-01-03,2024-03-22,1,3,79,11.3,2.6,22,10,629760,629760,81.6,2030201,국민내일배움카드(일반),C0061, 종로구,02-723-0008,45.5,정보통신,,
AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,쌍용교육센터,AIG20230000412645,4,500020052430,200500853,11680,2024-01-03,2024-07-15,1,7,194,27.7,6.5,20,20,9856080,9856080,95.1,20010202,K-디지털 트레이닝,C0104, 강남구,02-3482-4633,100.0,정보통신,정보기술,정보기술개발
ITQ자격증(한글/파워포인트/엑셀),국제컴퓨터학원,AIG20230000434511,1,500020028217,200800801,11650,2024-01-03,2024-01-30,1,1,27,3.9,0.9,9,0,480000,480000,100.0,2020302,국민내일배움카드(일반),C0061, 서초구,02-535-9951,0.0,정보통신,,
커피 바리스타 기초 과정(SCA 국제 자격증+바리스타 2급),월드클래스커피바리스타학원,AIG20230000450976,1,500041426742,202200761,11215,2024-01-03,2024-02-02,1,2,30,4.3,1.0,15,10,346500,396500,97.5,13010203,국민내일배움카드(일반),C0061, 광진구,02-465-9333,66.7,,,
전기(산업)기사 필기 이론[기기/전력-송전],(주)대한전기학원,AIG20230000446675,1,500020056275,200000165,11710,2024-01-03,2024-01-30,1,1,27,3.9,0.9,40,6,360000,360000,95.2,19010702,국민내일배움카드(일반),C0061, 송파구,02-415-2211,15.0,,,
"온라인 오프라인 SNS(블로그,인스타그램, 유튜브영상제작)마케팅",숭실창의인재개발원,AIG20220000391026,11,500034236473,201800912,11710,2024-01-03,2024-02-05,1,2,33,4.7,1.1,10,10,243360,243360,87.2,8030204,국민내일배움카드(일반),C0061, 동작구,02-822-2260,100.0,,,
"[평일]기초부터 전산회계1급, FAT1급 자격증 취득까지(이론+실기)",하이미디어아카데미,AIG20220000384376,4,500020056026,200601104,11650,2024-01-03,2024-02-14,1,2,42,6.0,1.4,20,9,452640,452640,88.6,2030201,국민내일배움카드(일반),C0061, 서초구,02-3478-0008,45.0,정보통신,,
[30시간완성] 기초부터 포토샵+GTQ_자체시험센터운영,하이미디어컴퓨터학원,AIG20230000445242,1,500020012631,200601553,11350,2024-01-03,2024-01-16,1,1,13,1.9,0.4,20,12,207600,207600,89.3,22010102,국민내일배움카드(일반),C0061, 노원구,02-6337-0008,60.0,,,
화훼장식기능사 국가자격증(실기) A반,오면꽃예술학원,AIG20230000440832,1,500033888539,201705977,11680,2024-01-03,2024-03-20,1,3,77,11.0,2.6,16,5,670320,756000,100.0,24010401,국민내일배움카드(일반),C0061, 강남구,02-558-8641,31.2,,,
정리수납전문가2급&실무향상,종로여성인력개발센터,AIG20220000379956,11,500020058490,200400247,11110,2024-01-03,2024-02-05,1,2,33,4.7,1.1,16,7,198600,198600,87.1,11020102,국민내일배움카드(일반),C0061, 종로구,02-765-1326,43.8,,,
"전산세무2급취득과정(실기,이론)",나래정보처리회계학원,AIG20230000428957,1,500020055029,200800174,11500,2024-01-03,2024-02-02,1,2,30,4.3,1.0,17,5,393600,393600,100.0,2030202,국민내일배움카드(일반),C0061, 강서구,02-2662-2567,29.4,정보통신,,
왕기초 컴퓨터활용(한글+엑셀),하이미디어컴퓨터학원,AIG20220000379036,3,500020012631,200601553,11350,2024-01-03,2024-01-24,1,1,21,3.0,0.7,20,9,234000,234000,81.1,2020302,국민내일배움카드(일반),C0061, 노원구,02-6337-0008,45.0,정보통신,,
일반기계기사 자격증 취득  필기,서울덕성평생교육원,AIG20230000421457,1,500020055952,200802361,11590,2024-01-03,2024-02-21,1,2,49,7.0,1.6,30,16,1032900,1032900,85.2,15010203,스마트혼합훈련,C0054Y, 동작구,02-2675-4000,53.3,,,
"컴퓨터OA실무와 ITQ자격증 취득(한글,엑셀,파워포인트)",서대문여성인력개발센터,AIG20220000383616,6,500020060396,199800138,11410,2024-01-04,2024-02-16,1,2,43,6.1,1.4,15,10,720000,720000,96.0,2020302,국민내일배움카드(일반),C0061, 서대문구,02-332-8661,66.7,정보통신,,
제과기능사 실기과정,중화직업전문학원,AIG20230000439798,1,500042954638,202301476,11260,2024-01-04,2024-03-15,1,3,71,10.1,2.4,18,3,408000,408000,97.1,21020101,국민내일배움카드(일반),C0061, 중랑구,02-491-9992,16.7,,,
회생파산 및 송무법률사무취업과정,대한법률학원,AIG20220000370280,16,500020019020,201301307,11560,2024-01-04,2024-01-24,1,1,20,2.9,0.7,47,40,748720,748720,95.5,5010101,국민내일배움카드(일반),C0061, 영등포구,02-2068-3488,85.1,,,
귀금속공예(저녁반),한국보석학원,AIG20230000430159,1,500020037544,200601080,11110,2024-01-04,2024-03-28,1,3,84,12.0,2.8,10,9,844560,904560,80.0,22020201,국민내일배움카드(일반),C0061, 종로구,02-764-4500,90.0,,,
"카카오, 라인 이모티콘 제작(일러스트, 포토샵 활용)",강동여성인력개발센터,AIG20230000421377,1,500020059230,201000981,11740,2024-01-04,2024-01-17,1,1,13,1.9,0.4,17,8,258180,258180,75.5,20020318,국민내일배움카드(일반),C0061, 강동구,02-475-0110,47.1,정보통신,통신기술,
글로벌 비즈니스를 위한 무역실무(FTA포함),종로여성인력개발센터,AIG20220000396966,5,500020058490,200400247,11110,2024-01-04,2024-02-20,1,2,47,6.7,1.6,25,11,688480,688480,92.3,2040302,국민내일배움카드(일반),C0061, 종로구,02-765-1326,44.0,정보통신,,
간호조무사자격취득과정_[복사],은평예일간호학원,AIG20230000444578,1,500034201689,201800689,11380,2024-01-04,2024-09-05,1,9,245,35.0,8.2,30,17,2998960,3198960,98.6,6020403,국민내일배움카드(일반),C0061, 은평구,02-2135-5130,56.7,,,
GTQ자격증취득(일러스트),(주)KD아카데미,AIG20210000351142,3,500020062489,200701532,11260,2024-01-04,2024-01-23,1,1,19,2.7,0.6,20,7,236040,236040,96.9,8020104,국민내일배움카드(일반),C0061, 노원구,02-951-0008,35.0,,,
커피바리스타2급자격증,동대문여성인력개발센터,AIG20220000385711,14,500020037155,200400272,11230,2024-01-04,2024-02-15,1,2,42,6.0,1.4,12,10,300300,330300,95.9,13010203,국민내일배움카드(일반),C0061, 동대문구,02-921-2020,83.3,,,
(세무사회)전산세무2급 취득,예우전산세무회계학원,AIG20230000434478,1,500020052986,200500676,11305,2024-01-04,2024-01-31,1,1,27,3.9,0.9,10,4,524800,524800,96.1,2030202,국민내일배움카드(일반),C0061, 강북구,02-989-0968,40.0,정보통신,,
유튜브크리에이터(스마트폰활용),동대문여성인력개발센터,AIG20220000369873,6,500020037155,200400272,11230,2024-01-04,2024-02-06,1,2,33,4.7,1.1,15,12,187200,187200,93.3,8030201,국민내일배움카드(일반),C0061, 동대문구,02-921-2020,80.0,,,
